WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,YEAR,MONTH,DAY
4.33,4,0.0,0.0,16.5,0.0,9.4,4.5,1976,5,9
11.25,0,8.0,0.0,15.1,0.0,5.8,2.8,1976,5,10
14.17,0,2.6,0.0,16.0,0.0,8.4,5.8,1976,5,11
16.29,0,1.7,0.0,13.4,0.0,6.7,5.7,1976,5,12
8.96,4,0.0,0.0,13.9,0.0,2.6,-1.8,1976,5,13
13.37,0,2.1,0.0,15.1,0.0,10.0,9.4,1976,5,14
13.25,0,3.3,0.0,12.8,0.0,9.6,7.1,1976,5,15
16.5,0,1.2,0.0,15.0,0.0,7.0,2.4,1976,5,16
13.88,0,5.8,0.0,14.4,0.0,11.7,10.1,1976,5,17
7.04,0,5.9,0.0,14.0,0.0,6.9,1.0,1976,5,18
7.08,0,0.8,0.0,12.7,0.0,4.1,-1.7,1976,5,19
8.38,0,2.1,0.0,12.8,0.0,7.0,3.1,1976,5,20
9.83,0,1.0,0.0,15.3,0.0,5.0,-1.4,1976,5,21
10.54,4,0.0,0.0,19.1,0.0,11.9,10.5,1976,5,22
9.5,0,0.0,0.0,19.1,0.0,9.2,3.2,1976,5,23
11.08,4,0.0,0.0,17.9,0.0,13.2,9.1,1976,5,24
10.0,0,1.0,0.0,15.4,0.0,7.0,1.5,1976,5,25
7.12,4,0.0,0.0,14.0,0.0,6.0,1.5,1976,5,26
3.29,4,0.0,0.0,15.1,0.0,9.6,8.6,1976,5,27
4.63,0,2.0,0.0,14.4,0.0,9.8,7.1,1976,5,28
3.33,0,2.7,0.0,16.8,0.0,8.1,4.8,1976,5,29
8.29,0,1.1,0.0,18.8,0.0,10.0,6.7,1976,5,30
6.29,0,1.7,0.0,16.6,0.0,10.0,7.6,1976,5,31
12.92,0,1.4,0.0,17.4,0.0,9.5,6.8,1976,6,1
4.29,0,0.0,0.0,16.5,0.0,6.8,3.7,1976,6,2
3.04,0,0.0,0.0,16.9,0.0,11.5,9.4,1976,6,3
5.75,0,0.3,0.0,18.4,0.0,12.5,10.8,1976,6,4
6.5,0,0.4,0.0,20.4,0.0,13.9,12.6,1976,6,5
7.87,0,0.0,0.0,23.8,0.0,11.3,7.0,1976,6,6
5.54,0,0.0,0.0,22.7,0.0,12.6,8.7,1976,6,7
7.75,0,0.0,0.0,23.7,0.0,11.9,9.8,1976,6,8
10.83,0,3.3,0.0,20.8,0.0,14.0,12.8,1976,6,9
10.83,0,8.1,0.0,18.5,0.0,9.2,6.0,1976,6,10
10.63,0,0.3,0.0,21.9,0.0,12.3,9.0,1976,6,11
13.13,4,0.0,0.0,19.0,0.0,14.6,12.4,1976,6,12
10.79,0,0.0,0.0,21.4,0.0,12.6,7.6,1976,6,13
11.92,0,0.0,0.0,21.9,0.0,14.1,8.7,1976,6,14
9.79,0,0.0,0.0,22.3,0.0,15.0,13.5,1976,6,15
3.37,0,3.8,0.0,19.5,0.0,14.6,11.6,1976,6,16
7.0,0,1.0,0.0,19.2,0.0,12.5,11.5,1976,6,17
11.67,0,0.2,0.0,16.2,0.0,12.6,11.8,1976,6,18
11.08,4,0.0,0.0,15.2,0.0,9.0,7.3,1976,6,19
9.96,0,1.9,0.0,17.9,0.0,8.4,6.2,1976,6,20
7.12,0,0.0,0.0,20.0,0.0,13.1,8.5,1976,6,21
8.96,0,0.0,0.0,22.0,0.0,14.8,11.5,1976,6,22
10.04,0,0.0,0.0,22.0,0.0,14.7,14.4,1976,6,23
10.37,0,0.0,0.0,24.2,0.0,17.4,15.2,1976,6,24
7.0,0,0.0,0.0,23.2,0.0,14.0,10.6,1976,6,25
7.41,0,0.0,0.0,22.2,0.0,14.0,10.0,1976,6,26
3.42,0,0.0,0.0,21.5,0.0,10.8,7.1,1976,6,27
5.58,0,0.0,0.0,23.2,0.0,11.4,7.7,1976,6,28
5.58,0,0.0,0.0,25.1,0.0,13.2,9.6,1976,6,29
6.04,0,0.0,0.0,26.8,0.0,14.5,10.2,1976,6,30
5.37,0,0.0,0.0,24.5,0.0,17.6,13.9,1976,7,1
4.67,0,0.2,0.0,26.3,0.0,16.9,13.6,1976,7,2
4.88,0,0.0,0.0,23.7,0.0,17.6,15.4,1976,7,3
4.08,0,0.0,0.0,23.4,0.0,15.6,13.0,1976,7,4
1.54,0,12.5,0.0,24.7,0.0,16.2,13.9,1976,7,5
4.12,0,10.1,0.0,19.4,0.0,15.6,14.5,1976,7,6
5.5,0,1.5,0.0,21.0,0.0,16.1,14.6,1976,7,7
4.29,0,17.2,0.0,23.6,0.0,15.5,14.8,1976,7,8
10.34,0,0.0,0.0,19.5,0.0,14.8,14.4,1976,7,9
9.13,0,2.2,0.0,19.9,0.0,12.6,5.5,1976,7,10
9.33,0,0.4,0.0,19.0,0.0,15.0,13.5,1976,7,11
5.75,0,0.4,0.0,19.2,0.0,14.4,11.0,1976,7,12
9.04,0,0.2,0.0,20.0,0.0,13.0,9.9,1976,7,13
10.34,0,10.3,0.0,20.1,0.0,13.0,11.4,1976,7,14
10.08,0,1.4,0.0,20.5,0.0,14.0,13.0,1976,7,15
6.54,0,0.0,0.0,18.9,0.0,8.8,4.8,1976,7,16
5.79,0,0.0,0.0,19.6,0.0,12.0,7.6,1976,7,17
10.25,4,0.0,0.0,21.0,0.0,13.0,7.9,1976,7,18
9.96,0,0.1,0.0,19.5,0.0,15.6,14.4,1976,7,19
8.83,0,3.1,0.0,18.6,0.0,11.7,9.5,1976,7,20
7.92,0,0.0,0.0,18.9,0.0,11.0,8.7,1976,7,21
5.63,0,0.0,0.0,18.0,0.0,10.7,7.5,1976,7,22
8.96,0,0.0,0.0,18.5,0.0,12.2,11.3,1976,7,23
6.58,4,0.0,0.0,18.2,0.0,13.4,12.7,1976,7,24
5.58,0,0.0,0.0,19.0,0.0,10.9,7.5,1976,7,25
5.09,0,0.0,0.0,19.3,0.0,13.9,12.1,1976,7,26
4.92,0,0.0,0.0,21.3,0.0,12.0,10.6,1976,7,27
5.5,0,0.0,0.0,20.2,0.0,12.0,9.4,1976,7,28
9.25,0,0.2,0.0,20.1,0.0,9.2,6.0,1976,7,29
9.87,0,0.0,0.0,17.8,0.0,12.8,11.0,1976,7,30
7.71,0,0.0,0.0,16.7,0.0,6.7,4.0,1976,7,31
13.0,0,0.0,0.0,19.4,0.0,8.5,4.5,1976,8,1
10.58,0,0.0,0.0,19.7,0.0,13.2,11.1,1976,8,2
5.91,0,0.0,0.0,19.8,0.0,12.9,12.1,1976,8,3
6.75,0,0.0,0.0,19.0,0.0,8.0,4.1,1976,8,4
4.92,0,0.2,0.0,19.0,0.0,13.0,9.5,1976,8,5
3.46,0,0.0,0.0,19.3,0.0,13.2,12.0,1976,8,6
3.08,0,0.0,0.0,19.8,0.0,13.9,12.6,1976,8,7
1.67,0,0.0,0.0,20.7,0.0,12.9,8.4,1976,8,8
1.67,0,0.0,0.0,22.2,0.0,9.1,6.2,1976,8,9
2.67,0,0.0,0.0,22.9,0.0,9.4,6.5,1976,8,10
4.71,0,0.8,0.0,20.8,0.0,11.8,8.0,1976,8,11
1.46,0,0.5,0.0,17.9,0.0,15.8,14.3,1976,8,12
2.42,0,0.0,0.0,18.9,0.0,11.3,6.3,1976,8,13
3.79,0,0.0,0.0,20.1,0.0,9.1,5.0,1976,8,14
3.42,0,0.0,0.0,23.0,0.0,8.6,3.3,1976,8,15
1.87,0,0.0,0.0,23.2,0.0,9.5,5.5,1976,8,16
2.0,0,0.0,0.0,23.7,0.0,10.4,6.0,1976,8,17
4.38,0,0.0,0.0,20.7,0.0,10.7,6.8,1976,8,18
3.0,0,0.0,0.0,22.2,0.0,9.7,5.8,1976,8,19
4.04,0,0.0,0.0,22.8,0.0,10.2,5.8,1976,8,20
6.87,0,0.0,0.0,22.5,0.0,10.3,6.5,1976,8,21
7.08,0,0.0,0.0,22.4,0.0,15.5,10.9,1976,8,22
5.79,0,0.0,0.0,23.2,0.0,14.6,8.5,1976,8,23
6.04,0,0.0,0.0,21.9,0.0,12.4,7.6,1976,8,24
4.12,0,0.0,0.0,24.6,0.0,11.5,8.2,1976,8,25
3.88,0,0.0,0.0,25.2,0.0,12.3,8.1,1976,8,26
8.87,0,0.0,0.0,20.5,0.0,11.9,7.5,1976,8,27
13.59,0,0.0,0.0,19.4,0.0,14.6,10.5,1976,8,28
9.67,0,2.0,0.0,16.5,0.0,14.6,11.8,1976,8,29
9.21,0,0.0,0.0,19.6,0.0,10.3,7.1,1976,8,30
8.63,0,0.0,0.0,21.1,0.0,9.6,6.1,1976,8,31
10.34,0,0.0,0.0,20.3,0.0,14.3,11.9,1976,9,1
11.63,0,0.0,0.0,15.9,0.0,7.3,3.2,1976,9,2
10.04,0,0.0,0.0,18.1,0.0,5.2,0.2,1976,9,3
8.08,0,0.0,0.0,19.2,0.0,11.7,7.1,1976,9,4
3.79,0,0.0,0.0,18.3,0.0,11.2,6.6,1976,9,5
4.46,0,0.0,0.0,19.9,0.0,12.4,9.0,1976,9,6
4.38,0,0.0,0.0,20.0,0.0,11.5,6.3,1976,9,7
13.17,0,0.8,0.0,19.2,0.0,10.8,5.5,1976,9,8
21.25,0,0.1,0.0,13.3,0.0,8.4,5.0,1976,9,9
10.54,0,16.5,0.0,13.5,0.0,6.2,3.4,1976,9,10
20.54,4,0.0,0.0,14.2,0.0,7.7,5.4,1976,9,11
12.33,0,1.1,0.0,14.1,0.0,6.7,3.0,1976,9,12
6.71,0,1.2,0.0,13.9,0.0,6.7,2.6,1976,9,13
12.17,0,2.7,0.0,14.5,0.0,8.0,4.0,1976,9,14
6.58,4,0.0,0.0,13.0,0.0,9.1,6.8,1976,9,15
3.08,0,0.0,0.0,14.8,0.0,3.5,-2.0,1976,9,16
4.42,0,0.0,0.0,15.1,0.0,1.7,-3.2,1976,9,17
5.66,0,0.0,0.0,15.9,0.0,5.8,0.6,1976,9,18
9.75,0,0.9,0.0,16.8,0.0,13.3,10.0,1976,9,19
7.25,0,7.5,0.0,19.1,0.0,7.5,0.2,1976,9,20
3.21,0,14.3,0.0,14.8,0.0,13.7,10.5,1976,9,21
1.63,4,0.0,0.0,16.8,0.0,10.9,5.9,1976,9,22
6.34,0,25.1,0.0,15.7,0.0,8.0,1.7,1976,9,23
15.92,0,27.4,0.0,15.4,0.0,13.0,10.6,1976,9,24
10.13,0,21.8,0.0,16.2,0.0,13.1,10.9,1976,9,25
8.17,0,18.1,0.0,16.5,0.0,10.2,4.1,1976,9,26
7.04,0,11.5,0.0,17.3,0.0,13.2,10.8,1976,9,27
7.71,0,6.1,0.0,17.8,0.0,13.6,9.0,1976,9,28
6.96,0,0.3,0.0,16.1,0.0,13.2,10.4,1976,9,29
5.25,0,0.4,0.0,16.4,0.0,13.7,9.2,1976,9,30
5.04,0,4.9,0.0,15.4,0.0,13.8,11.5,1976,10,1
2.67,0,7.8,0.0,15.2,0.0,12.8,9.2,1976,10,2
8.96,0,2.0,0.0,16.4,0.0,10.5,6.3,1976,10,3
5.41,0,2.8,0.0,14.5,0.0,5.0,-1.8,1976,10,4
11.54,0,2.5,0.0,18.5,0.0,5.4,-1.4,1976,10,5
19.21,0,1.1,0.0,15.5,0.0,10.7,7.5,1976,10,6
7.71,0,0.1,0.0,14.9,0.0,10.8,5.1,1976,10,7
3.04,0,0.0,0.0,16.9,0.0,7.8,0.5,1976,10,8
1.63,0,0.0,0.0,15.5,0.0,4.5,-2.5,1976,10,9
7.41,0,6.4,0.0,15.6,0.0,6.5,-0.4,1976,10,10
5.29,0,19.7,0.0,16.1,0.0,11.1,7.6,1976,10,11
8.33,0,0.1,0.0,12.3,0.0,7.2,4.5,1976,10,12
2.25,0,15.4,0.0,14.0,0.0,3.8,-3.7,1976,10,13
13.83,0,16.0,0.0,10.0,0.0,7.9,2.4,1976,10,14
14.83,4,0.0,0.0,12.3,0.0,7.5,4.5,1976,10,15
4.88,0,6.4,0.0,11.4,0.0,1.6,-4.8,1976,10,16
13.5,0,4.8,0.0,13.4,0.0,5.0,5.5,1976,10,17
1.54,0,0.2,0.0,14.2,0.0,5.6,-2.7,1976,10,18
2.42,0,1.2,0.0,12.4,0.0,4.1,-3.1,1976,10,19
6.96,0,1.6,0.0,13.0,0.0,4.1,-3.0,1976,10,20
9.17,0,1.0,0.0,13.9,0.0,6.4,-1.6,1976,10,21
6.04,0,12.9,0.0,13.2,0.0,4.4,-4.0,1976,10,22
6.21,0,16.7,0.0,8.0,0.0,7.5,5.0,1976,10,23
1.92,0,1.1,0.0,11.1,0.0,0.3,-7.0,1976,10,24
0.92,0,0.4,0.0,11.5,0.0,5.5,-1.5,1976,10,25
2.58,0,0.6,0.0,11.4,0.0,2.8,-2.3,1976,10,26
6.54,0,8.0,0.0,11.4,0.0,4.7,3.4,1976,10,27
2.58,0,6.5,0.0,11.5,0.0,3.5,-2.8,1976,10,28
6.71,0,4.6,0.0,10.2,0.0,6.6,4.0,1976,10,29
4.46,0,0.5,0.0,10.2,0.0,8.3,5.1,1976,10,30
4.21,0,1.3,0.0,11.2,0.0,7.5,3.5,1976,10,31
10.0,0,2.2,0.0,10.5,0.0,7.5,2.2,1976,11,1
11.79,0,0.1,0.0,8.9,0.0,3.9,-1.2,1976,11,2
7.54,0,0.1,0.0,10.5,0.0,0.9,-8.0,1976,11,3
5.96,0,1.0,0.0,11.8,0.0,3.4,-4.7,1976,11,4
9.62,4,0.0,0.0,10.5,0.0,6.1,0.5,1976,11,5
5.17,4,0.0,0.0,12.5,0.0,6.8,-1.0,1976,11,6
8.08,4,0.0,0.0,11.3,0.0,4.6,-4.6,1976,11,7
5.33,0,0.1,0.0,11.4,0.0,2.0,-6.6,1976,11,8
5.75,4,0.0,0.0,8.9,0.0,2.6,-4.0,1976,11,9
8.38,0,0.1,0.0,9.5,1.0,-1.5,-9.1,1976,11,10
4.96,0,0.2,0.0,9.9,1.0,-0.1,-8.4,1976,11,11
8.83,0,0.1,0.0,2.6,1.0,-1.5,-6.0,1976,11,12
6.58,0,0.3,0.0,9.8,1.0,-6.7,-7.0,1976,11,13
11.38,0,9.3,0.0,11.0,1.0,-1.5,-7.2,1976,11,14
8.29,0,4.5,0.0,12.3,0.0,2.4,-2.5,1976,11,15
8.63,4,0.0,0.0,10.0,0.0,4.4,-0.8,1976,11,16
7.41,0,6.8,0.0,11.5,0.0,3.0,2.7,1976,11,17
7.5,0,0.1,0.0,11.8,0.0,9.5,6.0,1976,11,18
2.17,0,0.0,0.0,10.3,0.0,9.0,6.8,1976,11,19
3.71,0,0.0,0.0,8.8,0.0,7.8,4.4,1976,11,20
8.46,0,0.0,0.0,9.0,0.0,6.3,3.5,1976,11,21
7.83,0,0.5,0.0,8.2,0.0,4.6,-0.1,1976,11,22
8.54,4,0.0,0.0,8.4,0.0,3.2,-3.7,1976,11,23
11.21,4,0.0,0.0,9.5,0.0,5.7,0.5,1976,11,24
13.04,0,5.0,0.0,11.5,0.0,7.3,4.5,1976,11,25
16.75,4,0.0,0.0,12.8,0.0,9.0,5.3,1976,11,26
15.5,0,5.0,0.0,11.0,0.0,2.4,-4.5,1976,11,27
21.84,0,5.0,0.0,8.5,0.0,4.5,3.6,1976,11,28
13.21,0,0.0,0.0,6.2,0.0,1.2,-3.0,1976,11,29
8.29,4,0.0,0.0,4.2,1.0,-1.1,-7.7,1976,11,30
10.88,0,2.0,0.0,4.7,0.0,0.9,-4.5,1976,12,1
10.0,0,0.2,0.0,2.9,1.0,-1.0,-5.5,1976,12,2
5.75,4,0.0,0.0,2.2,1.0,-0.2,-6.1,1976,12,3
11.0,0,0.0,0.0,1.5,0.0,0.0,-3.1,1976,12,4
11.83,0,4.4,0.0,8.2,1.0,-1.9,-8.9,1976,12,5
16.75,0,4.8,0.0,6.0,1.0,-2.1,-1.0,1976,12,6
15.46,0,1.9,0.0,9.0,0.0,2.3,-0.1,1976,12,7
10.75,4,0.0,0.0,7.0,0.0,2.6,-2.1,1976,12,8
7.25,0,0.4,0.0,4.2,1.0,-1.0,-7.9,1976,12,9
9.0,4,0.0,0.0,2.2,1.0,-3.7,-10.3,1976,12,10
2.71,0,0.0,0.0,4.7,1.0,-0.7,-6.0,1976,12,11
1.21,0,3.9,0.0,7.5,1.0,-1.1,-7.5,1976,12,13
5.33,0,0.5,0.0,7.7,0.0,0.6,-2.4,1976,12,14
5.66,0,5.1,0.0,8.0,0.0,4.9,2.9,1976,12,15
6.63,0,1.3,0.0,5.2,0.0,4.0,0.9,1976,12,16
5.63,0,0.0,0.0,6.0,0.0,1.5,-4.0,1976,12,17
9.92,4,0.0,0.0,6.3,0.0,3.6,-2.0,1976,12,18
3.17,0,7.5,0.0,6.4,0.0,4.5,2.2,1976,12,19
6.21,0,0.1,0.0,4.8,0.0,2.7,0.0,1976,12,20
6.5,0,0.7,0.0,4.4,0.0,1.4,-1.2,1976,12,21
9.71,0,4.4,0.0,9.1,1.0,-1.0,-7.0,1976,12,22
6.63,0,0.9,0.0,9.1,0.0,0.9,4.3,1976,12,23
8.25,0,0.7,0.0,7.3,0.0,5.6,-1.0,1976,12,24
5.96,0,0.1,0.0,6.7,0.0,2.8,-1.3,1976,12,25
6.5,4,0.0,0.0,3.1,0.0,0.1,-5.0,1976,12,26
11.67,0,1.8,0.0,4.4,0.0,1.1,-3.5,1976,12,27
7.58,0,0.1,0.0,4.1,1.0,-1.8,-7.6,1976,12,28
12.33,0,0.6,0.0,6.0,1.0,-1.7,-8.2,1976,12,29
9.67,0,0.1,0.0,5.8,0.0,3.1,-1.4,1976,12,30
7.92,0,4.2,0.0,5.2,1.0,-0.2,-6.5,1976,12,31
10.75,0,0.1,0.0,5.1,1.0,-0.1,-3.5,1977,1,1
9.46,4,0.0,0.0,2.0,1.0,-2.2,-7.4,1977,1,2
7.87,0,4.5,0.0,8.0,1.0,-4.4,-11.1,1977,1,3
15.41,0,2.1,0.0,11.2,1.0,-3.7,2.0,1977,1,4
11.5,0,0.1,0.0,11.2,0.0,7.8,4.2,1977,1,5
8.04,4,0.0,0.0,6.4,1.0,-0.9,-8.3,1977,1,6
11.38,0,0.4,0.0,6.6,0.0,3.6,-2.0,1977,1,8
12.71,0,1.2,0.0,6.0,0.0,3.5,0.2,1977,1,9
10.75,0,1.8,0.0,4.1,1.0,-0.6,-6.0,1977,1,10
7.62,4,0.0,0.0,1.9,1.0,-2.9,-8.5,1977,1,11
4.96,0,0.4,0.0,2.0,1.0,-2.9,-7.6,1977,1,12
17.04,0,18.9,0.0,2.3,1.0,-5.0,-7.0,1977,1,13
22.08,4,0.0,0.0,3.1,0.0,0.1,-2.0,1977,1,14
11.75,4,0.0,0.0,3.1,0.0,1.4,-2.5,1977,1,15
7.17,0,0.2,0.0,3.8,1.0,-1.3,-8.0,1977,1,16
9.21,0,1.7,0.0,5.1,1.0,-5.2,-11.5,1977,1,17
14.83,0,1.1,0.0,6.5,0.0,3.5,-0.7,1977,1,18
7.17,0,0.2,0.0,8.5,1.0,-2.1,-8.1,1977,1,19
17.12,0,8.8,0.0,8.8,1.0,-1.5,3.4,1977,1,20
14.79,4,0.0,0.0,10.0,0.0,6.5,3.1,1977,1,21
4.63,0,0.8,0.0,9.0,0.0,3.4,-4.5,1977,1,22
2.04,0,0.1,0.0,10.9,0.0,3.1,-3.0,1977,1,23
10.34,0,3.0,0.0,10.4,0.0,1.0,-4.0,1977,1,24
10.88,0,5.2,0.0,10.6,0.0,3.6,-2.6,1977,1,25
4.96,0,0.7,0.0,9.1,0.0,4.5,-0.5,1977,1,26
12.17,0,2.4,0.0,7.3,0.0,0.8,-6.5,1977,1,27
8.58,0,0.6,0.0,4.9,0.0,4.4,0.9,1977,1,28
2.54,4,0.0,0.0,4.4,1.0,-2.6,-9.5,1977,1,29
12.79,0,4.0,0.0,5.8,1.0,-4.3,-11.5,1977,1,30
4.75,0,0.0,0.0,2.6,0.0,0.9,-2.2,1977,1,31
6.17,0,0.2,0.0,8.5,1.0,-2.8,-10.0,1977,2,1
9.21,0,6.6,0.0,10.9,1.0,-1.0,-4.5,1977,2,2
18.29,0,0.4,0.0,8.5,0.0,3.4,0.9,1977,2,3
10.5,0,2.2,0.0,9.8,0.0,3.0,-2.5,1977,2,4
10.08,0,3.2,0.0,9.5,0.0,5.0,-1.5,1977,2,5
7.58,0,4.9,0.0,11.0,0.0,3.5,-2.0,1977,2,6
16.66,0,5.0,0.0,8.8,0.0,5.3,2.2,1977,2,7
7.96,0,0.8,0.0,9.1,0.0,5.1,-0.1,1977,2,8
9.96,0,6.1,0.0,11.5,0.0,6.7,3.2,1977,2,9
12.25,0,14.8,0.0,8.2,0.0,7.5,4.0,1977,2,10
9.13,0,0.7,0.0,9.9,0.0,5.5,1.5,1977,2,11
5.25,0,0.5,0.0,7.5,0.0,5.1,0.5,1977,2,12
5.46,0,3.8,0.0,10.0,0.0,1.4,-5.3,1977,2,13
8.21,0,1.9,0.0,6.2,0.0,4.7,1.7,1977,2,14
11.5,0,5.6,0.0,6.7,1.0,-1.4,-6.6,1977,2,15
5.91,0,1.5,0.0,9.1,1.0,-1.8,-8.8,1977,2,16
11.04,0,12.4,0.0,9.3,1.0,-0.8,-7.5,1977,2,17
15.09,4,0.0,0.0,7.3,0.0,4.8,0.1,1977,2,18
13.04,0,10.8,0.0,10.6,0.0,2.7,-1.9,1977,2,19
9.08,0,3.4,0.0,7.0,0.0,4.1,-1.1,1977,2,20
3.83,0,5.2,0.0,8.9,0.0,3.8,-2.7,1977,2,21
10.96,0,9.2,0.0,7.6,0.0,5.6,1.3,1977,2,22
17.92,0,8.1,0.0,5.1,0.0,3.7,1.3,1977,2,23
17.71,0,3.9,0.0,5.0,0.0,3.2,0.0,1977,2,24
10.46,4,0.0,0.0,5.5,0.0,4.2,0.8,1977,2,25
8.71,4,0.0,0.0,6.2,0.0,3.0,-0.2,1977,2,26
17.92,0,0.0,0.0,5.5,0.0,3.6,-1.0,1977,2,27
16.71,0,7.3,0.0,8.8,0.0,4.4,0.5,1977,2,28
5.0,0,0.1,0.0,14.0,0.0,4.7,1.4,1977,3,1
13.25,0,1.9,0.0,17.0,0.0,4.9,-2.5,1977,3,2
16.71,0,0.2,0.0,11.3,0.0,6.9,2.0,1977,3,3
18.66,0,0.0,0.0,11.0,0.0,5.6,0.5,1977,3,4
11.04,0,0.0,0.0,13.1,0.0,6.8,1.9,1977,3,5
9.42,0,0.0,0.0,12.1,0.0,2.9,-3.9,1977,3,6
14.0,0,0.4,0.0,12.8,0.0,5.1,-0.6,1977,3,7
17.67,0,0.2,0.0,12.1,0.0,7.4,-0.5,1977,3,8
16.88,0,3.6,0.0,12.7,0.0,8.8,5.1,1977,3,9
20.21,0,3.9,0.0,11.8,0.0,5.6,-2.4,1977,3,10
14.29,4,0.0,0.0,9.1,0.0,6.1,2.6,1977,3,11
9.67,0,2.0,0.0,11.1,0.0,2.5,-4.0,1977,3,12
13.33,0,1.5,0.0,9.8,0.0,5.0,1.0,1977,3,13
16.33,0,0.4,0.0,10.1,0.0,3.7,-0.5,1977,3,14
19.79,0,3.8,0.0,12.1,0.0,3.8,1.3,1977,3,15
15.34,0,1.8,0.0,13.2,0.0,4.1,-3.0,1977,3,16
18.34,0,1.4,0.0,11.8,0.0,5.2,1.3,1977,3,17
15.41,0,3.6,0.0,12.2,0.0,5.8,1.0,1977,3,18
11.08,0,3.0,0.0,9.9,0.0,5.3,0.5,1977,3,19
17.41,0,0.2,0.0,8.5,0.0,4.9,0.5,1977,3,20
18.21,0,0.6,0.0,6.6,0.0,5.0,0.2,1977,3,21
13.5,0,0.9,0.0,7.5,0.0,3.6,1.0,1977,3,22
12.08,4,0.0,0.0,9.5,0.0,3.8,1.1,1977,3,23
9.71,0,0.7,0.0,10.0,0.0,2.2,-4.2,1977,3,24
12.08,0,11.9,0.0,9.2,0.0,3.8,-3.0,1977,3,25
12.54,0,1.2,0.0,8.9,0.0,5.2,3.0,1977,3,26
19.33,4,0.0,0.0,5.3,0.0,2.4,1.1,1977,3,27
10.13,4,0.0,0.0,7.0,0.0,1.0,-8.0,1977,3,28
7.79,0,0.0,0.0,7.6,1.0,-0.2,-11.0,1977,3,29
14.12,0,2.5,0.0,11.3,0.0,2.0,0.0,1977,3,30
19.46,0,4.6,0.0,15.2,0.0,4.8,2.0,1977,3,31
25.62,0,1.2,0.0,9.4,0.0,6.0,1.2,1977,4,1
12.33,0,2.1,0.0,9.4,0.0,3.5,-5.0,1977,4,2
14.92,0,2.3,0.0,8.3,1.0,-0.6,-7.2,1977,4,3
9.38,4,0.0,0.0,9.8,0.0,0.4,-6.8,1977,4,4
11.17,0,0.2,0.0,10.4,0.0,4.7,-2.0,1977,4,5
15.67,4,0.0,0.0,9.0,0.0,5.4,-1.0,1977,4,6
13.17,0,1.1,0.0,7.3,0.0,1.1,-4.5,1977,4,7
8.63,0,3.2,0.0,6.4,1.0,-1.5,-7.2,1977,4,8
6.13,0,1.2,0.0,10.3,0.0,2.0,-3.5,1977,4,9
13.83,0,1.9,0.0,11.1,0.0,4.8,2.2,1977,4,10
13.04,0,1.6,0.0,11.4,0.0,4.5,-0.3,1977,4,11
21.62,0,1.5,0.0,14.6,0.0,6.4,5.5,1977,4,12
18.54,0,0.2,0.0,11.0,0.0,6.3,1.5,1977,4,13
14.12,4,0.0,0.0,12.0,0.0,4.0,-1.5,1977,4,14
8.0,0,0.0,0.0,10.5,1.0,-0.4,-7.2,1977,4,15
8.42,0,0.0,0.0,11.8,0.0,2.2,-4.3,1977,4,16
8.58,0,0.3,0.0,8.8,0.0,6.5,0.5,1977,4,17
8.21,0,5.2,0.0,9.8,0.0,1.3,1.3,1977,4,18
7.75,0,2.2,0.0,13.3,0.0,4.8,1.4,1977,4,19
14.29,0,1.1,0.0,15.9,0.0,9.8,6.9,1977,4,20
18.46,0,2.0,0.0,16.2,0.0,11.6,7.7,1977,4,21
26.42,4,0.0,0.0,14.0,0.0,11.0,6.7,1977,4,22
20.25,0,1.5,0.0,10.4,0.0,6.2,0.7,1977,4,23
13.21,0,0.6,0.0,14.1,0.0,4.5,-0.6,1977,4,24
14.5,0,1.4,0.0,14.9,0.0,7.2,3.0,1977,4,25
14.37,0,1.9,0.0,11.5,0.0,6.4,1.0,1977,4,26
17.54,0,8.7,0.0,12.2,0.0,3.1,-2.5,1977,4,27
14.09,0,3.9,0.0,10.3,0.0,2.1,-2.9,1977,4,28
13.79,0,1.8,0.0,12.7,0.0,5.6,0.0,1977,4,29
10.58,0,2.3,0.0,11.5,0.0,2.6,-4.6,1977,4,30
6.75,0,2.5,0.0,10.7,0.0,3.6,-3.0,1977,5,1
7.41,4,0.0,0.0,9.5,0.0,3.9,-5.5,1977,5,2
11.04,4,0.0,0.0,9.5,0.0,2.6,-3.8,1977,5,3
8.96,4,0.0,0.0,13.4,0.0,3.0,-5.5,1977,5,4
7.96,4,0.0,0.0,13.0,0.0,4.0,-3.0,1977,5,5
9.87,0,0.6,0.0,11.8,0.0,6.0,1.0,1977,5,6
17.08,0,0.7,0.0,13.4,0.0,5.2,-1.5,1977,5,7
8.87,0,1.8,0.0,13.3,0.0,7.5,3.8,1977,5,8
6.58,0,0.1,0.0,13.8,0.0,9.0,4.7,1977,5,9
7.67,0,0.0,0.0,15.9,0.0,7.1,-0.7,1977,5,10
15.71,0,0.8,0.0,15.4,0.0,10.8,6.5,1977,5,11
10.75,0,9.0,0.0,13.2,0.0,4.5,-3.0,1977,5,12
7.96,4,0.0,0.0,11.1,0.0,2.4,-3.5,1977,5,13
6.67,0,0.0,0.0,11.9,0.0,0.5,-7.2,1977,5,14
8.71,0,0.0,0.0,12.5,0.0,5.2,-3.0,1977,5,15
9.62,0,0.0,0.0,11.3,0.0,5.0,-2.0,1977,5,16
